Substrate Index,Materials Project ID,Initial formation energy,Final formation energy,Initial area,Final area,Work of Cleavage,Surface Energy
314,mp-999127,1.3456489999999999,1.2696667499999998,15.065082502680001,15.065082502680001,0.35728951361816064,0.16855755682375223 
715,mp-1221948,0.7446285000000001,0.7034362500000002,9.3925699729,9.3925699729,0.3171138472850121,0.14978568209331336 
4084,mp-7101,0.7681516000000002,0.7263686,15.9473307744,15.9473307744,0.24084017910793634,0.11386993382711233 
1052,mp-1001613,0.5136362499999998,0.48897924999999987,16.979149830064998,16.979149830064998,0.12100399728860478,0.05759761294221738 
1784,mp-1018055,0.9712969999999999,0.6734140000000011,14.300604623235,14.300604623235,0.27167998153641104,0.09417979417539694 
2482,mp-1067986,0.39337599999999995,0.3891694000000001,14.073100012482,14.073100012482,0.13976167285498536,0.06913355970874045 
2608,mp-22905,0.14740049999999982,0.14740049999999982,13.275405592849001,13.275405592849001,0.02220655315863183,0.011103276579315915 
3357,mp-10779,1.3542769999999997,1.30253225,16.64300143104,16.64300143104,0.3254886459299842,0.15652612365588273 
1624,mp-1009834,0.6955440000000005,0.6949433333333334,9.951097375296,9.951097375296,0.20968863244973862,0.10475377344692027 
1303,mp-13314,0.9864730000000002,0.8636495000000002,15.791385590117999,15.791385590117999,0.2498762364759985,0.10938235851076406 
2029,mp-1227311,1.199439,0.62823575,12.645080998288,12.645080998288,0.37941678670540435,0.09936444852904555 
1844,mp-1094963,0.5631850000000003,0.5563992500000001,16.443619152169997,16.443619152169997,0.13699782141346398,0.06767357536696225 
2227,mp-1215470,0.4026707499999995,0.39498424999999937,26.55921205713,26.55921205713,0.060644984366830995,0.02974367230099834 
4604,mp-1215429,0.8168127500000004,0.7825705000000003,16.222520342961,16.222520342961,0.20140218233214738,0.09647952148687672 
856,mp-1069790,0.5866897999999992,0.5864552000000003,11.938393219204002,11.938393219204002,0.24571556206418746,0.12280865381796799 
2022,mp-4433,0.7112589999999998,0.6871535999999991,16.846000854544002,16.846000854544002,0.21110618660812497,0.10197577542782921 
3644,mp-755340,2.5943606000000003,2.3215912000000003,12.994130282547001,12.994130282547001,0.9982817409044307,0.44666152130209 
750,mp-1224091,0.3661277500000004,0.2705247500000003,34.405126401984994,34.405126401984994,0.04256665076270457,0.01572583962280647 
2639,mp-1069042,0.42552659999999987,0.3582214,18.170457991535002,18.170457991535002,0.1170929759167981,0.049286237056721846 
1900,mp-1070146,0.8939377999999998,0.8181072,17.544600333755998,17.544600333755998,0.25476151721736684,0.1165753543023082 
1407,mp-753098,0.6656327499999999,0.5978784999999998,7.556135820863999,7.556135820863999,0.3523667471206936,0.158249802325982 
1451,mp-1068431,1.0218234800000001,0.97394186,17.494390131226,17.494390131226,0.2920431842251339,0.13917916724939106 
625,mp-29266,0.07724812499999967,0.07650987499999973,61.857727850879996,61.857727850879996,0.009990425149300174,0.00494747399609902 
57,mp-19340,0.44914000000000076,0.2517642499999999,7.749510105784001,7.749510105784001,0.23182884794989875,0.06497552659802086 
3622,mp-1217811,1.4009064999999996,1.3401449999999997,15.059982609359999,15.059982609359999,0.3720871494577466,0.17797430910273163 
1492,mp-21421,0.543143400000001,0.3887720000000002,12.95536767304,12.95536767304,0.20962099019786115,0.07502141386713229 
2422,mp-1003402,1.1449819999999997,0.6746394999999996,9.547811600747,9.547811600747,0.47968353288848675,0.14131814246255495 
3033,mp-1224789,0.4297274999999998,0.375702,13.688783213219999,13.688783213219999,0.1255706934083049,0.05489194972963911 
3369,mp-1228895,0.8388353750000004,0.7872137500000003,64.268955293959,64.268955293959,0.10441562289765084,0.04899496165135237 
3752,mp-865185,0.40110740000000006,0.3542102,12.481888857412,12.481888857412,0.16067576173049095,0.07094483135652636 
3589,mp-11454,1.2002383333333337,1.1247396666666667,10.872226857635999,10.872226857635999,0.3311846825078963,0.15517607589424753 
2212,mp-753940,0.30038959999999976,0.2062107999999995,16.505311904929002,16.505311904929002,0.09099785624478082,0.03123400532928107 
2323,mp-12779,0.3359972499999997,0.2120472499999999,35.94590483589,35.94590483589,0.03738921042983734,0.01179813116226149 
3551,mp-1221125,0.9426774999999998,0.8918939999999997,14.334740912016,14.334740912016,0.2630469586540784,0.1244381053657378 
705,mp-4961,0.5791549999999998,0.5466025999999999,12.03191784573,12.03191784573,0.2406744325492281,0.11357345666093943 
2513,mp-10635,0.5294457499999998,0.5294457499999998,19.123312666440995,19.123312666440995,0.055371761078728834,0.027685880539364417 
2451,mp-8883,0.8687130000000001,0.8630335000000002,14.229303260264,14.229303260264,0.24420394564951664,0.12130369059039763 
1628,mp-7158,0.5542197999999999,0.48560820000000005,15.883227889026,15.883227889026,0.17446699243763925,0.0764341170750807 
3898,mp-1225155,0.5332756000000003,0.5177690000000006,16.629040048384002,16.629040048384002,0.16034467366979,0.07784108380482206 
1180,mp-569696,0.6321242000000005,0.6253326000000001,18.441892832005998,18.441892832005998,0.17138267903361465,0.08477066395738027 
4027,mp-1070099,0.33060959999999967,0.33060959999999967,14.107170901823999,14.107170901823999,0.11717785312902575,0.05858892656451287 
3891,mp-19225,1.16303075,1.0812214999999998,8.228449677810001,8.228449677810001,0.5653705354175734,0.26280078078760677 
1953,mp-7422,0.4501421999999998,0.3938007999999996,16.20468647952,16.20468647952,0.1388925976966305,0.06075415289547528 
1549,mp-568113,1.2027616,1.0751176,16.799009696939997,16.799009696939997,0.357985863958126,0.15999716938609732 
1768,mp-5898,0.6600799999999992,0.6348525999999992,16.911044188416,16.911044188416,0.1951624017552244,0.09385177416112349 
2048,mp-919,0.7550180500000003,0.7550180500000003,18.795164244921004,18.795164244921004,0.08034173473147786,0.04017086736573893 
566,mp-23040,0.3735225,0.2314137500000002,16.090440982175,16.090440982175,0.09285575216087326,0.028764127752167946 
1102,mp-22873,2.2087358000000004,2.2087358000000004,20.783013027920997,20.783013027920997,0.2125520295861498,0.1062760147930749 
1967,mp-972351,0.12061473333333339,0.1194376333333332,11.54892793666,11.54892793666,0.031331410325229465,0.015512820842123343 
675,mp-1223677,0.3674586000000005,0.3616968,6.481938021766,6.481938021766,0.28344809744099236,0.13950179667926538 
1069,mp-1010,1.4799866000000002,1.2053125999999998,20.960764624701,20.960764624701,0.7060747193620623,0.28751637203625946 
1041,mp-1173341,1.8802823999999994,1.590412,16.25083376896,16.25083376896,0.578518747632335,0.2446662156863877 
2060,mp-603347,0.6596285000000002,0.6513134999999997,11.654629354729,11.654629354729,0.22639192716406664,0.11176906277774021 
502,mp-1224527,1.6776342500000005,1.0333620000000003,10.405789513208,10.405789513208,0.6448849452011655,0.19861289692403655 
